timestamp,person_id,dwell_sec,zone_id,camera_id,source_video
3/20/2026 11:00,15,0.9,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:54,21,213.78,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:56,22,40.98,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:08,28,3005.77,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:59,30,0.2,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:08,36,1713.51,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:48,38,0.2,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:39,39,1066.98,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:02,40,0.9,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:01,57,2.0,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:01,58,0.1,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:02,62,28.48,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:39,67,749.57,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:57,71,0.4,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:44,74,652.52,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:18,78,663.52,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:57,79,10.39,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:02,80,1.8,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:10,81,51.87,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:29,85,1047.2,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:02,86,4.2,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:42,89,398.07,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:59,90,12.09,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:02,101,305.42,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:02,104,1.9,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:52,106,0.6,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:34,109,354.4,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:45,116,0.2,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:42,120,898.78,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:30,123,10.39,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:15,136,1.8,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:42,137,0.1,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:55,145,7.1,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
3/20/2026 11:40,150,839.72,Charms + Screen,coach4,Coach-4-hour-2-20260320105957.mp4
